Разность н.з. и цели = 2

T1,        T2,        beta,      gamma,     sigma,     x0,        y0,       z0,         x_goal,    B

0.01,      2.00,      1.50,      0.70,      0.10,      5.00,      5.00,     10.00,      7.00,      8.00
0.01,      3.00,      1.20,      0.70,      0.10,      5.00,      5.00,     10.00,      7.00,      8.00
0.01,      6.00,      0.90,      0.80,      0.10,      5.00,      5.00,     10.00,      7.00,      8.00
0.01,      9.00,      0.70,      0.80,      0.10,      5.00,      5.00,     10.00,      7.00,      8.00


Разность н.з. и цели = 1

T1,        T2,        beta,      gamma,     sigma,     x0,        y0,       z0,         x_goal,    B

0.10,      8.00,      0.90,      0.90,      0.10,      5.00,      5.00,     10.00,      6.00,      8.00
0.30,      3.00,      1.40,      1.10,      0.10,      5.00,      5.00,     10.00,      6.00,      8.00
0.80,      3.00,      1.30,      0.90,      0.10,      5.00,      5.00,     10.00,      6.00,      8.00
1.00,      5.00,      1.50,      0.80,      0.10,      5.00,      5.00,     10.00,      6.00,      8.00


при увеличении начального питания интервал Т1 уменьшается = [0.01 : 0.01 : 0.1)

T1,        T2,        beta,      gamma,     sigma,     x0,        y0,       z0,         x_goal,    B

0.10,      1.00,      1.50,      0.70,      0.10,      5.00,      5.00,     15.00,      6.00,      8.00
0.10,      2.00,      1.50,      0.70,      0.10,      5.00,      5.00,     15.00,      6.00,      8.00
0.10,      3.00,      1.50,      0.70,      0.10,      5.00,      5.00,     15.00,      6.00,      8.00
0.10,      3.00,      1.50,      0.80,      0.10,      5.00,      5.00,     15.00,      6.00,      8.00

0.01,      1.00,      0.10,      1.20,      0.10,      5.00,      5.00,     20.00,      6.00,      8.00  2100 решений
0.02,      2.00,      1.50,      1.20,      0.10,      5.00,      5.00,     20.00,      6.00,      8.00












T1,        T2,        beta,      gamma,     sigma,     x0,        y0,       z0,         x_goal,    B

0.01,      1.00,      1.10,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.01,      1.00,      1.20,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.01,      1.00,      1.30,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00

0.11,      6.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.11,      7.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.11,      8.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.11,      9.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.11,     10.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.12,      1.00,      1.30,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.12,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00

0.68,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.69,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.70,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.71,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.72,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.73,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.74,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.75,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.76,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.77,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
0.78,      1.00,      1.40,      1.50,      0.10,     14.00,     14.00,     20.00,     15.00,     20.00
